idx,name,n_qubits,shots,checkpoint,n,n_ref,tvd_p95,hf_p05,tvd_median,p_false_fail,evaluable
21,QAOA MaxCut 12Q,12,10000,9,9000,1000,0.656,0.284,0.644,1.0,0
21,QAOA MaxCut 12Q,12,10000,10,10000,1000,0.656,0.286,0.643,1.0,0
22,QML Image Class 14Q,14,400,3,120,100,1.0,0.0,0.992,1.0,0
22,QML Image Class 14Q,14,400,4,160,100,1.0,0.0,0.994,1.0,0
22,QML Image Class 14Q,14,400,5,200,100,1.0,0.0,0.995,1.0,0
22,QML Image Class 14Q,14,400,6,240,100,1.0,0.0,0.992,1.0,0
22,QML Image Class 14Q,14,400,7,280,100,1.0,0.0,0.993,1.0,0
22,QML Image Class 14Q,14,400,8,320,100,1.0,0.0,0.994,1.0,0
22,QML Image Class 14Q,14,400,9,360,100,1.0,0.0,0.994,1.0,0
22,QML Image Class 14Q,14,400,10,400,100,1.0,0.0,0.995,1.0,0
23,VQE SrH PDM 12Q,12,4000,3,1200,400,0.0,1.0,0.0,0.0,1
23,VQE SrH PDM 12Q,12,4000,4,1600,400,0.0,1.0,0.0,0.0,1
23,VQE SrH PDM 12Q,12,4000,5,2000,400,0.0,1.0,0.0,0.0,1
23,VQE SrH PDM 12Q,12,4000,6,2400,400,0.0,1.0,0.0,0.0,1
23,VQE SrH PDM 12Q,12,4000,7,2800,400,0.0,1.0,0.0,0.0,1
23,VQE SrH PDM 12Q,12,4000,8,3200,400,0.0,1.0,0.0,0.0,1
23,VQE SrH PDM 12Q,12,4000,9,3600,400,0.0,1.0,0.0,0.0,1
23,VQE SrH PDM 12Q,12,4000,10,4000,400,0.0,1.0,0.0,0.0,1
24,Grover 6Q,6,1024,3,306,102,0.412,0.638,0.353,0.0,0
24,Grover 6Q,6,1024,4,408,102,0.392,0.649,0.346,0.0,0
24,Grover 6Q,6,1024,5,510,102,0.39,0.66,0.341,0.0,0
24,Grover 6Q,6,1024,6,612,102,0.386,0.66,0.337,0.0,0
24,Grover 6Q,6,1024,7,714,102,0.388,0.659,0.335,0.0,0
24,Grover 6Q,6,1024,8,816,102,0.381,0.661,0.328,0.0,0
24,Grover 6Q,6,1024,9,918,102,0.382,0.669,0.331,0.0,0
24,Grover 6Q,6,1024,10,1024,102,0.379,0.666,0.325,0.0,0
25,QSVM Radar 4Q,4,1024,3,306,102,0.213,0.89,0.15,0.0,1
25,QSVM Radar 4Q,4,1024,4,408,102,0.206,0.906,0.146,0.0,1
25,QSVM Radar 4Q,4,1024,5,510,102,0.206,0.902,0.143,0.0,1
25,QSVM Radar 4Q,4,1024,6,612,102,0.203,0.913,0.141,0.0,1
25,QSVM Radar 4Q,4,1024,7,714,102,0.198,0.897,0.144,0.0,1
25,QSVM Radar 4Q,4,1024,8,816,102,0.186,0.915,0.138,0.0,1
25,QSVM Radar 4Q,4,1024,9,918,102,0.193,0.91,0.139,0.0,1
25,QSVM Radar 4Q,4,1024,10,1024,102,0.187,0.915,0.138,0.0,1
