wall_time,bitfile,software_commit,idx,name,per_shot_compiled_us,repeat,shots,elapsed_ms
2026-09-24T00:19:51,build_0071783e_20260829023649,7de69de,20,Shor N=15 5Q,17.6580,0,50100,895.395005
2026-09-24T00:19:51,build_0071783e_20260829023649,7de69de,20,Shor N=15 5Q,17.6580,1,100,4.411074
2026-09-24T00:19:52,build_0071783e_20260829023649,7de69de,20,Shor N=15 5Q,17.6580,1,50100,895.245054
2026-09-24T00:19:52,build_0071783e_20260829023649,7de69de,20,Shor N=15 5Q,17.6580,2,100,4.402814
2026-09-24T00:19:53,build_0071783e_20260829023649,7de69de,20,Shor N=15 5Q,17.6580,2,50100,895.300125
2026-09-24T00:19:53,build_0071783e_20260829023649,7de69de,21,QAOA MaxCut 12Q,43.2400,-1,100,7.860089
2026-09-24T00:19:53,build_0071783e_20260829023649,7de69de,21,QAOA MaxCut 12Q,43.2400,0,100,7.836778
2026-09-24T00:19:56,build_0071783e_20260829023649,7de69de,21,QAOA MaxCut 12Q,43.2400,0,50100,2177.176505
2026-09-24T00:19:56,build_0071783e_20260829023649,7de69de,21,QAOA MaxCut 12Q,43.2400,1,100,7.858739
2026-09-24T00:19:58,build_0071783e_20260829023649,7de69de,21,QAOA MaxCut 12Q,43.2400,1,50100,2177.133055
2026-09-24T00:19:58,build_0071783e_20260829023649,7de69de,21,QAOA MaxCut 12Q,43.2400,2,100,7.853719
2026-09-24T00:20:00,build_0071783e_20260829023649,7de69de,21,QAOA MaxCut 12Q,43.2400,2,50100,2177.249086
2026-09-24T00:20:01,build_0071783e_20260829023649,7de69de,22,QML Image Class 14Q,50.1240,-1,100,7.949270
2026-09-24T00:20:01,build_0071783e_20260829023649,7de69de,22,QML Image Class 14Q,50.1240,0,100,7.926919
2026-09-24T00:20:03,build_0071783e_20260829023649,7de69de,22,QML Image Class 14Q,50.1240,0,50100,2522.709471
2026-09-24T00:20:03,build_0071783e_20260829023649,7de69de,22,QML Image Class 14Q,50.1240,1,100,7.944309
2026-09-24T00:20:06,build_0071783e_20260829023649,7de69de,22,QML Image Class 14Q,50.1240,1,50100,2522.593540
2026-09-24T00:20:06,build_0071783e_20260829023649,7de69de,22,QML Image Class 14Q,50.1240,2,100,7.934400
2026-09-24T00:20:09,build_0071783e_20260829023649,7de69de,22,QML Image Class 14Q,50.1240,2,50100,2521.673311
2026-09-24T00:20:09,build_0071783e_20260829023649,7de69de,23,VQE SrH PDM 12Q,42.8520,-1,100,7.832789
2026-09-24T00:20:09,build_0071783e_20260829023649,7de69de,23,VQE SrH PDM 12Q,42.8520,0,100,7.824819
2026-09-24T00:20:11,build_0071783e_20260829023649,7de69de,23,VQE SrH PDM 12Q,42.8520,0,50100,2158.035714
2026-09-24T00:20:12,build_0071783e_20260829023649,7de69de,23,VQE SrH PDM 12Q,42.8520,1,100,7.820548
2026-09-24T00:20:14,build_0071783e_20260829023649,7de69de,23,VQE SrH PDM 12Q,42.8520,1,50100,2158.105005
2026-09-24T00:20:14,build_0071783e_20260829023649,7de69de,23,VQE SrH PDM 12Q,42.8520,2,100,7.817518
2026-09-24T00:20:16,build_0071783e_20260829023649,7de69de,23,VQE SrH PDM 12Q,42.8520,2,50100,2158.214085
2026-09-24T00:20:16,build_0071783e_20260829023649,7de69de,24,Grover 6Q,59.4760,-1,100,9.676197
2026-09-24T00:20:16,build_0071783e_20260829023649,7de69de,24,Grover 6Q,59.4760,0,100,9.643786
2026-09-24T00:20:19,build_0071783e_20260829023649,7de69de,24,Grover 6Q,59.4760,0,50100,2991.566800
2026-09-24T00:20:20,build_0071783e_20260829023649,7de69de,24,Grover 6Q,59.4760,1,100,9.661527
2026-09-24T00:20:23,build_0071783e_20260829023649,7de69de,24,Grover 6Q,59.4760,1,50100,2991.623981
2026-09-24T00:20:23,build_0071783e_20260829023649,7de69de,24,Grover 6Q,59.4760,2,100,9.641987
2026-09-24T00:20:26,build_0071783e_20260829023649,7de69de,24,Grover 6Q,59.4760,2,50100,2991.547470
2026-09-24T00:20:26,build_0071783e_20260829023649,7de69de,25,QSVM Radar 4Q,17.1200,-1,100,4.460905
2026-09-24T00:20:26,build_0071783e_20260829023649,7de69de,25,QSVM Radar 4Q,17.1200,0,100,4.436464
2026-09-24T00:20:27,build_0071783e_20260829023649,7de69de,25,QSVM Radar 4Q,17.1200,0,50100,868.813969
2026-09-24T00:20:27,build_0071783e_20260829023649,7de69de,25,QSVM Radar 4Q,17.1200,1,100,4.445545
2026-09-24T00:20:28,build_0071783e_20260829023649,7de69de,25,QSVM Radar 4Q,17.1200,1,50100,868.756349
2026-09-24T00:20:28,build_0071783e_20260829023649,7de69de,25,QSVM Radar 4Q,17.1200,2,100,4.447375
2026-09-24T00:20:29,build_0071783e_20260829023649,7de69de,25,QSVM Radar 4Q,17.1200,2,50100,868.856200
