seq,block,image,config,manifest,run_kind,repeat
539,2,C1,std_pool,rand30_t7,measure,4
540,2,C1,std_pool,rand10_t9,warmup,-1
541,2,C1,std_pool,rand10_t9,measure,0
542,2,C1,std_pool,rand10_t9,measure,1
543,2,C1,std_pool,rand10_t9,measure,2
544,2,C1,std_pool,rand10_t9,measure,3
545,2,C1,std_pool,rand10_t9,measure,4
546,2,C1,std_pool,rand20_t2,warmup,-1
547,2,C1,std_pool,rand20_t2,measure,0
548,2,C1,std_pool,rand20_t2,measure,1
549,2,C1,std_pool,rand20_t2,measure,2
550,2,C1,std_pool,rand20_t2,measure,3
551,2,C1,std_pool,rand20_t2,measure,4
552,2,C1,std_pool,rand10_t7,warmup,-1
553,2,C1,std_pool,rand10_t7,measure,0
554,2,C1,std_pool,rand10_t7,measure,1
555,2,C1,std_pool,rand10_t7,measure,2
556,2,C1,std_pool,rand10_t7,measure,3
557,2,C1,std_pool,rand10_t7,measure,4
558,2,C1,std_pool,rand30_t9,warmup,-1
559,2,C1,std_pool,rand30_t9,measure,0
560,2,C1,std_pool,rand30_t9,measure,1
561,2,C1,std_pool,rand30_t9,measure,2
562,2,C1,std_pool,rand30_t9,measure,3
563,2,C1,std_pool,rand30_t9,measure,4
